Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url
"Jogging Track,Water Feature,High Ceiling,Stove,Fridge,Dual Key,Walk In Closet,Dryer,Mid Floor,Undrewater Fitness Station,Outdoor Dining,Sky Terrace,Balcony,City View,Yoga Corner,Aircon,Closet,TV,Sofa,Pool Deck,Bed,Lounge,Mini Golf Range,Wading Pool,Playground,Dining Room Furniture,Washer,Fibre Ready,BBQ",625 sqft (built up),"Trilive, a brand new condo with full facilities. Settled in D19 amongst many eateries, schools and amenities. 8 mins walk to Kovan MRT. There is also a shuttle offered by the development to Kovan MRT station. There is a bus stop just outside of Trilive that is served by buses 53, 62 and 112 going to Bishan, Ang Mo Kio, Pasir Ris, Aljunied, Punggol, Hougang and Upper Serangoon.

Unit is a bright and airy 2 bed 2 bath with unblocked views. Fully furnished and move in condition. Just bring your bags! 

Contact Gavin now for  viewing @ 9686 2099.",D19,All races welcome,North South,,Fully Furnished,Yes,24 months,Trilive,2 Baths,2 Beds,Not Allowed,S$4.24 psf,"S$2,650/mo",https://www.99.co/singapore/rent/property/trilive-condo-LhmQNz6NQrtjUp4AvYuUPG
"Aircon,Closet,High Ceiling,Sofa,Stove,Fridge,Bed,TV,Oven,Dining Room Furniture,Washer",250 sqft (built up),"Loft studio going for rent 1 Dec 2018.
Price 1500 per month include utilities and wifi. 
Start 1 Dec 2018.
It has a shared toilet with another studio. 
The bathroom is huge with sunken bath. 
High ceiling. 
It is in the middle with no windows facing outside but has windows to the corridor. 
 3 MRT lines close to NAFA SMU, Kaplan etc...

Well nested at the fringe of city centre, 8 min walk to Farrer Park MRT, 13 min walk to Novena MRT and 1 bus stop away from Little India MRT.

Supermarket, foodcourt, clinics and other amenities all within short walking distance.

Call Victoria @ 91509637",D08,,,,Fully Furnished,,Flexible,Carlisle Road,1 Bath,Studio,,S$6.00 psf,"S$1,500/mo",https://www.99.co/singapore/rent/property/carlisle-road-landed-RPTxnqYfuxmTaT2xBgJszJ
"Bomb Shelter,Aircon,Closet,TV,Sofa,Stove,Fridge,Bed,Low Floor,Swimming Pool,Wading Pool,Playground,Fitness Corner,Parking,Washer,Fibre Ready,Security,BBQ,Balcony",440 sqft (built up),"Bus stop just outside the main entrance
Bus to Parkway Parade
Facilities include barbeque area, fitness corner, playground, swimming pool and carpark.
For enquires Contact Mary Gian @97717792 (CEA Reg No R004305F).",D15,,,,,,24 months,The Cotz,1 Bath,1 Bed,,S$3.86 psf,"S$1,700/mo",https://www.99.co/singapore/rent/property/the-cotz-condo-TdRX6HScJz9qECiF58gMji
"Jogging Track,Clubhouse,Water Feature,High Ceiling,Stove,Timber Deck,Mini-mart,Walk In Closet,Oven,Pond,Balcony,Fun Pool,Renovated,Closet,Duplex / Maisonette,Lounge,Utility Room,Playground,Washer,Fibre Ready,BBQ,Gym,Dishwasher,Fridge,Dryer,Steam Room,Tennis Court,Ground Floor,Aircon,Maid Room,Billiards Room,Spa Pool,Fitness Corner,Security,Bathtub,Lap Pool","3,380 sqft (built up)","Beautiful and renovated duplex

Spacious ground floor duplex, good size 4 bedrooms, squarish layout  plus maid's room. 

3 ensuite and Huge family area, comes with dry and wet Kitchen. 

Quiet and Serene facing.

No west sun, bright n windy. 

2 carpark lots, full condo Facilities.

Shuttle bus to MRT.

These include a 50m lap pool, spa pool, recreational pool, BBQ area, gym, fitness station, tennis courts, jogging track, steam bath, clubhouse, lounge, billiards room, entertainment room, shops, several ponds, and a playground. 

Available from Dec 2018.

Call Grace at 81820331 for more details and viewing.",D05,All races welcome,North East,,Partially Furnished,Yes,24 months,Botannia,4 Baths,4 Beds,Allowed,S$1.86 psf,"S$6,300/mo",https://www.99.co/singapore/rent/property/botannia-condo-qRmbbj3PX6GtzFoL2YUd5F
"Security,Renovated,Aircon,TV,Sofa,Stove,Fridge,Bed,Jacuzzi,Wading Pool,Basketball Court,Steam Room,Playground,Fitness Corner,Parking,Mid Floor,Dining Room Furniture,Washer,Gym,Tennis Court,Balcony","1,453 sqft (built up)","Located in bustling Ang Mo Kio town centre, Centro Residences offers condos for rent at the centre of vibrant living.

2 Bedroom Ensuite with spacious living  and balcony area.

Ensuite master bathroom complete with a bath tub.
  Minimum lease of 1 year applies


Viewing timeby appointment

please sms detail first

or contact 065 98416309 Mr Ang for booking and viewing appointment

Please state "" Centro Residence Rental""

1)Name & Contact No.
2)Nationality 
3)Number of occupiers  
4)Professions/Occupation  
5)Move-in date/ 
    Duration of Stay -  1 or  2 years
6) Date/Time want to view.

Other enquiry , overseas contact,
please whatapp, wechat or telegram contact me at 
 +65 98416309  


 Email: cityhisop@yahoo.com.sg
 
",D20,All races welcome,,,Partially Furnished,,12 months,Centro Residences,2 Baths,2 Beds,Allowed,S$2.68 psf,"S$3,900/mo",https://www.99.co/singapore/rent/property/centro-residences-condo-QqsQbHFmHbrcnhatPz34VZ
"Clubhouse,Function Room,Stove,Fridge,Dryer,Tennis Court,Parking,Pond,Security,Balcony,Karaoke,Aircon,TV,Sofa,Bed,Spa Pool,Swimming Pool,Wading Pool,Jacuzzi,Playground,Fitness Corner,Dining Room Furniture,Washer,Sky Terrace,Lap Pool,Gym,BBQ",721 sqft (built up),"The Metropolitan unit for Rent

2-BRs
721 sqft
Fully-Furnished
Facing towards Tanglin direction
Away from MRT track
Unblock facing
Very convenient location
Walk to MRT
Welcome expats or couples
Available immediate

Call J.A.Goh @ 96390350 for discussion and viewing arrangement.....",D03,All races welcome,North,,Fully Furnished,,24 months,The Metropolitan Condominium,1 Bath,2 Beds,Not Allowed,S$5.41 psf,"S$3,900/mo",https://www.99.co/singapore/rent/property/the-metropolitan-condominium-condo-QopaGhYzDFTmgVNDy2Ebef
"Security,Renovated,Closet,Swimming Pool,Maid Room,Sofa,Stove,Parking,Fridge,Bed,Jacuzzi,Aircon,Wading Pool,Dryer,TV,Dining Room Furniture,Washer,Fibre Ready,Gym,BBQ","2,109 sqft (built up)","Terrace House for Rent

4-Storeys
4-bedrooms
With attached toilets
Beautifully renovated
Direct access to swim pool
Partial or Fully-Furnished can be discussed
Good location
Short distance to Orchard Road
Near to Shangri-La Hotel
Most welcome corporate family
Available with 1-mth notice

Call J.A.Goh @ 96390350 for a discussion and viewing arrangement....",D10,All races welcome,,,Flexible,,24 months,Fernhill Cottage,4 Baths,4 Beds,Allowed,S$2.99 psf,"S$6,300/mo",https://www.99.co/singapore/rent/property/fernhill-road-landed-WARhCsXGJTFLQAiCa6ak65
"Clubhouse,Stove,Sauna,Jacuzzi,Tennis Court,Parking,Ground Floor,Renovated,Aircon,Swimming Pool,Pool Deck,Mini Golf Range,Wading Pool,Playground,Security,Gym,BBQ",904 sqft (built up),"New List! Don't Miss
Available from 4 Feb 2019

======================================

- Viewing Available By Appt -

- Ground floor lover
- Spacious Patio
- Furnished, aircons
- Quiet facing, unblocked
- Mins walk to Simei MRT/ Eastpoint Mall/ Schools/ Shops/ Eateries and lots more...
- Easy Access to Airport, PIE, TPE, ECP, Changi Biz Park and many more...

=====================================

Must View...
Please Call/ SMS Aaron Loon ERA 9457-8811 for viewing Appt Now!",D18,,,,Fully Furnished,,Flexible,Eastpoint Green,2 Baths,1 Bed,,S$2.43 psf,"S$2,200/mo",https://www.99.co/singapore/rent/property/eastpoint-green-condo-wayKYJxpSwaXFJwbGYzmp6
"Clubhouse,Water Feature,Stove,Fridge,Dryer,Parking,Outdoor Dining,Patio / PES,Security,Balcony,Aircon,TV,Sofa,Pool Deck,Bed,Hydrotherapy Pool,Wading Pool,Spa Pool,Playground,Audio System,Washer,Lap Pool,Gym,BBQ",614 sqft (built up),"Just 5min walk to Kovan MRT!

Available after 4 March.

Super spacious 1Bedroom on ground floor.

Within 5-7min walk to amenities like MRT, Heartland Mall (Cold Storage and Restaurants), food center, wet market, NTUC finest and etc.

A quiet and serene condo away from the buzz.

Call/text Jason @ 9795 9379 for more information.

",D19,All races welcome,East,,Partially Furnished,,12 months,Bliss @ Kovan,1 Bath,1 Bed,,S$3.01 psf,"S$1,850/mo",https://www.99.co/singapore/rent/property/bliss-kovan-condo-ynt3tnskvUcfFDcJQmdCLh
"Clubhouse,Aircon,Gym,Bed,Swimming Pool,Jacuzzi,Playground,Parking,High Floor,Security,Tennis Court",958 sqft (built up),"2 Bedroom with aircon, Fully furnished 
Astoria Park is a distinct landmark situated next to the Kembangan MRT station 
It is near to Chai Chee Technopark and Bedok neighbourhood.  It has also a small mail - Kembangan Plaza opposite the apartment with some retail shops, 
Nearest International School- Global Indian International School, NPS International School and Rosemount International School",D14,All races welcome,,,Fully Furnished,,Flexible,Astoria Park,2 Baths,2 Beds,,S$3.03 psf,"S$2,900/mo",https://www.99.co/singapore/rent/property/astoria-park-condo-BCBisyEmniX9kW3DqmRxgk
"Closet,Aircon,Maid Room,Sofa,Fridge,TV,Washer,Fibre Ready","2,400 sqft (built up)","Inter-Terrace house for Rent

Jalan Haji Salam
2-storeys
Inter-terrace
4-BRs
Koi pond
Cosy and comfortable house
Expats will love it.
Available immediate

Call J.A.Goh @ 96390350 for discussion and viewing arrangement.....
",D16,All races welcome,,,Partially Furnished,,24 months,Jalan Haji Salam,3 Baths,4 Beds,Allowed,S$1.58 psf,"S$3,800/mo",https://www.99.co/singapore/rent/property/jalan-haji-salam-landed-H8axrQQPU7hSYg3ppejuNk
"Stove,Fridge,Sauna,Sea View,Tennis Court,Parking,Security,Aircon,Swimming Pool,Wading Pool,Squash Court,Playground,Fitness Corner,High Floor,Washer,Gym,BBQ","3,800 sqft (built up)","Rare Penthouse Unit at Mandarin Gardens For Rent!

- Well Maintained

- Fantastic Sea View

- Partially Furnished

- 3 Bedrooms With Attached Bathrooms

- Fully Equipped Kitchen

- Mins to ECP

- Many Buses to City

- Penthouse Unit

- Generous & Spacious Size

- Not to Be Missed!
  
Call Agnes @ 9101 2082 to view now!",D15,,,,Partially Furnished,,Flexible,Mandarin Gardens,5 Baths,3 Beds,,S$1.53 psf,"S$5,800/mo",https://www.99.co/singapore/rent/property/mandarin-gardens-condo-Q2oRGCyjU5fNzXoxJ2E6kZ
"Clubhouse,Loft,Water Feature,Gym,Parking,Timber Deck,Sea View,Steam Room,Balcony,Fun Pool,Aircon,Maid Room,Jacuzzi,Playground,High Floor,Security,Lap Pool,BBQ","6,050 sqft (built up)","★★★ Call Gelene @ 9011 0080 ★★★ 
★★★ www.geleneong.com ★★★

The Oceanfront @ Sentosa Cove 
6050sqft Penthouse for RENT 
asking $19,900 per month 

- Duplex with 4 Bedrooms 4 toilets +powder room +helper room 
- Enlarge master bedroom comes with balcony facing sea, sinking bath and bomb shelter room within.
- 3 junior bedroom got planter with bathroom attached standing shower.
- Dining room with full kitchen facilities flame and induction hob. outdoor shelter terrace avail with barbecue pit and personal pool and a toilet
- Ocean view, unit with private lift


-------------------------------------------------- ----------------------------- 
Call Gelene @ 9011 0080 for viewing now 
website: www.geleneong.com 
email: geleneong.era@gmail.com 
CEA Licence No.:L3002382K / R013210E",D04,,,,Partially Furnished,,Flexible,The Oceanfront @ Sentosa Cove,4 Baths,4 Beds,,S$3.29 psf,"S$19,900/mo",https://www.99.co/singapore/rent/property/the-oceanfront-sentosa-cove-condo-m8NLxkQA7vbMZGVhgdrd7L
"Jogging Track,Clubhouse,Water Feature,Gym,Timber Deck,Mini-mart,Steam Room,Tennis Court,Pond,Fun Pool,Renovated,Aircon,Billiards Room,Lounge,Spa Pool,Playground,Fitness Corner,Security,Lap Pool,BBQ","1,216 sqft (built up)","★★★ Call Gelene @ 9011 0080 ★★★ 
★★★ www.geleneong.com ★★★

Botannia
3 + 1 Study Unit for RENT
partially furnished 
asking @ $3500 nego

Call Gelene @ 9011 0080 for viewing now 
website: www.geleneong.com 
email: geleneong.era@gmail.com 
CEA Licence No.:L3002382K / R013210E


Condo Facilities at Botannia 

Botannia has a myriad of facilities. These include a 50m lap pool, spa pool, recreational pool, BBQ area, gym, fitness station, tennis courts, jogging track, steam bath, clubhouse, lounge, billiards room, entertainment room, shops, several ponds, and a playground. 

Condo Amenities at Botannia 

There are several bus services available within walking distance. Japanese Secondary School and Nan Hua Primary are just some of the noteworthy schools located nearby. Residents can buy their necessities at the nearby Hong Leong Garden Shopping Centre, West Coast Drive Market, and Teban Gardens and there are many restaurants located just a short drive away. In addition, recreational facilities, such as the Pandan Gardens Leisure Park and Pandan Reservoir Park, are located close by. 

For vehicle owners, travelling to the business hub and the Orchard Road shopping district takes less than 20 minutes, via Ayer Rajah Expressway and Holland Road respectively.",D05,,,,Partially Furnished,,Flexible,Botannia,2 Baths,3 Beds,,S$2.88 psf,"S$3,500/mo",https://www.99.co/singapore/rent/property/botannia-condo-hjMkacatgLtdZCqgaV8wMn
"Jogging Track,Clubhouse,Function Room,Water Feature,High Ceiling,Stove,Sea View,Oven,Parking,Sky Terrace,Fun Pool,City View,Renovated,Closet,TV,Pool Deck,Utility Room,Playground,Dining Room Furniture,Washer,Fibre Ready,BBQ,Fitness Corner,Gym,Fridge,Dual Key,Dryer,Steam Room,Tennis Court,Karaoke,Pool View,Aircon,Sofa,Bed,Spa Pool,Study Room,Audio System,High Floor,Security,Retail Shops,Lap Pool",328 sqft (built up),"This place needs no introduction. An iconic The Sail brand name well known all over the world by developer CDL, Marina Bay is Singapore’s ambitions to build a world class financial center on par with New York and London. 

The choicest location in Singapore’s District 1. With S$1Billion spent on ""The Necklace"" with the floating platform stage & grandstand & The Singapore flyer, the tallest ferris wheel in the world, directly opposite around the Bay. and a $5.5 Billion Marina Bay Sands integrated Resort just a stone's throw away (across the road literally) You cannot ask for a more prestigious address.

$4000. Nett price, with no hidden costs. We take care of the details, you enjoy your new home… with the most convenient conveniences, with an underground shopping mall & eateries which lead to Raffles MRT on one end & the Marina Bay MRT & MBFC on the other.

This is a dual key unit consisting of two almost identical studios sharing a common kitchen. 

Our units are designer decor and are fully furnished, air conditioned & with ensuite baths.

Price includes:
Utilities (Electricity, water, cooking gas)	Free Weekly Housekeeping provided
Free Cable TV programmes	
Free Air con & servicing
Free 100Mbps Wifi Broadband Internet 

Note:
“Size” is in square feet and are given to the best approximates.

The price can be further reduced if you are a corporate HR wishing to place your expats in a high end 5-star like hotel environment and yet pay half of the hotel rates.

Listed price on Long Term 2yrs or more lease is $3800. Anything less than 1 yr is up to 50% more depending on duration. Commission of half a months rent for every yrs lease is payable by tenant too. Above price is this month's special but T&C applies. E.g upfront rental payable. If standard 2mths deposit with 1month advance then rent is fixed at $3800 /mth for 2yrs lease

Vested interest",D01,All races welcome,South,,Fully Furnished,Yes,6 months,The Sail @ Marina Bay,1 Bath,Studio,Not Allowed,S$7.93 psf,"S$2,600/mo",https://www.99.co/singapore/rent/property/the-sail-marina-bay-condo-CExbz5ryS9HEuaXtad6Zwn
"Clubhouse,Loft,Aircon,High Ceiling,Gym,Swimming Pool,Wading Pool,Basketball Court,Tennis Court,Parking,High Floor,Security,Lap Pool,BBQ,Balcony","1,507 sqft (built up)","★★★ Call Gelene @ 9011 0080 ★★★ 
★★★ www.geleneong.com ★★★ 

3 Bedroom + 1 utility LOFT 
1507sqft for Rent 
Partially furnished 
Season parking not included @ $160.50
Asking $9000
Available 30th January 2019
*Photo is for illustration only, may not the actual unit. 

● Good Location, Good Layout, Good Amenities 
● Mins to The Amara,Tanjong Pagar Plaza,Maxwell Food Centre,International Plaza 
● Mins drive to Lau Pa Sat Food Centre,Marina Bay Financial Centre,Marina Bay Sands,Clarke Quay,Vivo City,Resorts World Sentosa 
● Mins to Tanjong Pagar / Outram Park MRT Station NE3 / EW16 

▎Other Size/Layout Available ▎Daily Viewing ▎ 

Call Gelene @ 9011 0080 for viewing now 
website: www.geleneong.com 
email: geleneong.era@gmail.com 
CEA Licence No.:L3002382K / R013210E 

Purchase for your own stay or rent out at a good rental yield! 

Unit Description: 
• 1-Bedroom Apartment: 527 – 603sqft 
• 2-Bedroom Apartment: 829 – 1023 sqft 
• 1-Bedroom Loft: 753 – 861sqft 
• 2-Bedroom Loft: 1109 – 1184sqft 
• 3-Bedroom Loft: 1507 – 1658sqft 
• Penthouses: 2486 & 4058sqft 


This unique development offers 1, 2 and 3-bedroom lofts and penthouses located from Level 10. The commercial units at the 1st level will be integrated with Icon Village to provide connectivity and ample amenities for its residents.Many Facilities at level 8,9,18,28,40,52 and 60",,,,,Partially Furnished,,Flexible,Altez,3 Baths,3 Beds,,S$5.97 psf,"S$9,000/mo",https://www.99.co/singapore/rent/property/altez-condo-3sWPs28bZaU6xzr5bKpaYa
