Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url
"Aircon,Dining Room Furniture,Mid Floor,Sofa,Washer,Fridge","1,334 sqft (built up)","5-room HDB for RENT!

Big and Spacious
3 Bedrooms + Study Room
Newly Paint.
Available Immediate!!

Very Convenient and with lots of Amenities nearby.

* Walking distance to Woodlands MRT (NS Line) and Bus Interchange.
  And With Upcoming Thomson Line Station.
	
* Causeway Point
- Cold Storage, Fastfood, Restaurants, Food Court, Banks, Cinema, etc..
 
* Woddlands Civic Centre
- Fastfood, Restaurants, Banks, Dental, Clinic, Library, Childcare, etc..

* Marsiling Mall
- 24hr Sheng Siong, Burger King, Food Centre and Shops..

* Woodlands Stadium, Sports Hall, Swimming Complex and Gym.


Pls call or sms Max Phong (+65) 9782 7581 for viewing!!",D25,,,,,,12 months,368 Woodlands Avenue 1,2 Baths,3 Beds,,S$1.65 psf,"S$2,200/mo",https://www.99.co/singapore/rent/property/368-woodlands-avenue-1-hdb-Yz5yjfPFcvEbSZ4V74JkFP
"Clubhouse,Stove,Fridge,Jacuzzi,Parking,Security,Aircon,Wading Pool,Swimming Pool,Utility Room,Fitness Corner,High Floor,Washer,Fibre Ready,Lap Pool,BBQ",721 sqft (built up),"AMENITIES NEAR CITYLIGHTS 

Citylights is close to EW11 Lavender MRT Station and not far from several Schools such as Hong Wen School, Stamford Primary School and Bendemeer Primary School. 

Resident at Citylights can get to the nearest Prime Supermarket at 803 King George Avenue and NTUC Fairprice Supermarket at 180 Kitchener Road. It is also nearby to Golden Mile Complex, Mustafa Centre and City Square Mall Shopping Malls for an array of amenities such as grocery and retail shopping, banks, eateries and more. 

Vehicle owners can take Kallang Road and Kallang Paya-Lebar Expressway (KPE) to get to the business hub or shopping district in the city.",D08,All races welcome,,,Partially Furnished,,Flexible,Citylights,2 Baths,1 Bed,,S$4.99 psf,"S$3,600/mo",https://www.99.co/singapore/rent/property/citylights-condo-XTXxPahUUWMHMERCn2tjBo
"City View,Renovated,Aircon,Squash Court,Stove,Fridge,Swimming Pool,Dryer,Tennis Court,Oven,Parking,Mid Floor,Washer,Bathtub,Security,Closet",614 sqft (built up),"1 and 2 Bedroom Apartments for lease - 1 or 2 years
Partial Furnished
Walking distance to Novena MRT Station

1) 1 bedroom 
614 sqft
4th floor
Available : 25 Mar 19
Asking : $2,450 per month (nett price)

2) 2 bedrooms
990 sqft
5th floor
Available : Immediate  
Asking : $3,100 per month (nett price)

2) 2 bedrooms
990 sqft
9th floor
Available : 14 Mar 19  
Asking : $3,250 per month (nett price)

Facilities includes Swimming Pool and Tennis Court
For enquiries, please call Eric at Hp : 8448 4949",D11,All races welcome,,,Partially Furnished,,24 months,Pastoral View,1 Bath,1 Bed,Allowed,S$3.99 psf,"S$2,450/mo",https://www.99.co/singapore/rent/property/pastoral-view-condo-FZqBpAsuMzLii2yUr95crX
"Bomb Shelter,Patio / PES,Roof Terrace,Aircon,Maid Room,Greenery View,Fridge,Bathtub,High Ceiling,Dryer,Oven,Washer,Fibre Ready,Stove,Closet",S$2.08 psf,"Exclusive resort-style  4+1 cluster house @ Alana, Sunrise Terrace


Pristine condition, brand new !

3-storey inter terraced house + basement + roof terrace :

Basement  :  Direct access to 2 private car park lots, conveniently outside the door of the basement
1st Storey  :  Ample living space + dining hall + good size wet and dry fully equipped kitchen
2nd Storey :  3 spacious bedrooms : 1 master + 2 common
3rd Storey  :  1 spacious master room + roof terrace

Beautiful modern design + quality appliances and fittings

Facing pool and beautiful landscaped greenery view

Facilities : security, car park, swimming pool, gymnasium, bbq areas and children's playground


Nestled in a quiet and peaceful landed neighbourhood

Near Greenwich Village Shoppers' Mall and Seletar Shoppers' Mall, supermarkets like Cold Storage And NTUC FairPrice, eateries and various amenities 

Easy access via the nearby CTE and SLE


For more info, pls call 

9121 9898 Julian, ERA

Owners selling/renting welcome",D28,All races welcome,,,Partially Furnished,,Flexible,Alana,"3,120 sqft (built up)",4 Beds,Allowed,,"S$6,500/mo",https://www.99.co/singapore/rent/property/sunrise-terrace-landed-o32TNCUns7oPQQA6kPWrbD
"Function Room,Water Feature,Stove,Fridge,Low Floor,Oven,Parking,Mid Floor,Pond,Security,Balcony,Infinity Pool,City View,Renovated,Aircon,Pool Deck,Bed,Swimming Pool,Wading Pool,Spa Pool,Playground,Washer,Gym,BBQ",527 sqft (built up),"SOHO Studio unit for lease
527 sqft
Fully / Partial furnished 
Mid floor with City and River view 
3 mins walk to Lavender MRT Station 
Direct buses to CBD, Orchard, Bugis etc.
Few mins drive to the business hub and Orchard Road
All amenities nearby 
Suitable for single professional, couple or as an Office
Available :  Immediate
Asking : $2,800 per month (negotiable)",D07,All races welcome,,,Partially Furnished,,Flexible,Southbank,1 Bath,Studio,Allowed,S$5.31 psf,"S$2,800/mo",https://www.99.co/singapore/rent/property/southbank-condo-jHQdtndTNAEYQAbJWtXLmX
"Gym,Fridge,Jacuzzi,Steam Room,Oven,Parking,Security,Balcony,Fun Pool,Renovated,Closet,TV,Sofa,Bed,Aircon,Wading Pool,Playground,Fitness Corner,Washer,Pool View,Lap Pool,BBQ",484 sqft (built up),"- Minutes walk to MRT
- Pool View
- Fully Furnished
- Spacious 1 bedder unit
- Well Maintained
- Full condo Facilities  
- Amenities nearby

For viewing, please call Clarie Lee @ 91153945   ",D10,,,,,,Flexible,The Ford @ Holland,1 Bath,1 Bed,,S$7.23 psf,"S$3,500/mo",https://www.99.co/singapore/rent/property/the-ford-holland-condo-8rs7JTzEEVCfJLZEecRPY3
"Clubhouse,Renovated,Aircon,Sofa,Gym,Fridge,Bed,BBQ,Jacuzzi,Study Room,Dining Room Furniture,Washer,Fibre Ready,Tennis Court,Balcony","1,765 sqft (built up)","Nouvel 18 Condo for rent !

- Prime Location
- 3 + Study whole unit for rent 
-Spacious unit with 1765 sqft size
- Right beside Raffles Girl School
- Well renovated
- Few mins drive to Orchard MRT
- Windy and Bright
- Available immediately

**Multiple units available:-
2+study, 3+study , 4+study, 4 bedder Penthouse, 5 bedder Penthouse

Call Clarie Lee at 9115 3945 for viewing !",D10,All races welcome,North East,,Partially Furnished,,Flexible,Nouvel 18,3 Baths,3 Beds,,S$5.33 psf,"S$9,400/mo",https://www.99.co/singapore/rent/property/nouvel-18-condo-5kobCxBXLxGbz7WfkecXFE
"Clubhouse,Pool Deck,Gym,Fridge,Walk In Closet,Jacuzzi,Steam Room,Parking,Security,Balcony,Dishwasher,Aircon,Duplex / Maisonette,Wading Pool,Utility Room,Playground,Top Floor,High Floor,Washer,Fibre Ready,Lap Pool,Hydrotherapy Pool","4,000 sqft (built up)","This is a beautiful 4 bedder duplex  at the top of the Marina Bay Residences with a magnificent view of this surroundings and well connected to the rest of the island by the mrt in its proximity including shopping , eateries & amenities . Don’t hesitate to contact me ASAP as it’s the only penthouse unit available and therefore may not be around a lot longer .",D01,All races welcome,,,,Yes,Flexible,Marina Bay Residences,5 Baths,4 Beds,,S$7.50 psf,"S$30,000/mo",https://www.99.co/singapore/rent/property/marina-bay-residences-condo-SBzoodnvFMzihQW8HMS9Q8
"Clubhouse,Fitness Corner,Aircon,Gym,Fridge,Low Floor,Wading Pool,Playground,Oven,Parking,Washer,Lap Pool,Security,Balcony",452 sqft (built up),"==========================
Echelon 
==========================

1 bedroom is available. 
Super High Floor with great view at Tanglin

****Call to view to view all

Call Axel 94502720


Types of units on hand

- 1bedroom 452sqft

- 2bedroom 732sqft

- 3bedroom 861sqft/1001sqft/1130sqft/1292sqft/1313sqft/1346sq ft

- 4bedroom 1442sqft / 1572sqft


Newly completed & ready for move-in!

Excellent locale, convenience & amenities just a stone’s throw away:

- Walking distance to Redhill MRT (EW18)

- 2 MRT stops to Tanjong Pagar MRT, 3 MRT stops to Raffles Place MRT

- Mins drive to Orchard Road Shopping Belt & Singapore’s embassy belt



Great units for sale & for lease:

- Spacious rooms

- High floor & low floor units available

- Bigger units with private lift lobby

- Unblocked and breezy (Wide selection of views: CBD / Marina Bay / Tanglin GCB / Keppel Golf Club)







For Echelon Owners/ Sellers/ Landlords:

- Feel free to call us for non-obligatory consultation on market trends and asking prices

- Complementary  defects checking for a hassle-free handover",D03,,South,,Fully Furnished,,12 months,Echelon,1 Bath,1 Bed,Not Allowed,S$6.19 psf,"S$2,800/mo",https://www.99.co/singapore/rent/property/echelon-condo-Khn3xWFtpghpRvcA2jWGCo
"Security,Renovated,Aircon,Greenery View,Fridge,Swimming Pool,Jacuzzi,Playground,Oven,Parking,Washer,Stove,Balcony","3,000 sqft (built up)","Call Clarie Lee @ 91153945 for viewing today!

*Ventura Heights (Cluster Semi-D) for rent*
- Vacant
- Move in condition
- 3 Storey cluster semi-D
- Partial Condition
- 2 personal car lots at the basement
- Total 5 bedrooms (with 3 ensuites)

B1: Guest Room , open garden, utility room , 2 bathrooms 
Level 1 : Living room, Dining room ,kitchen and bathroom 
Level 2 : master , junior master and 2 bathrooms
Level 3: Bedroom 3 and 4 ,
1 bathroom , Roof garden

Call Clarie Lee @ 91153945 now!",D10,,,,,,Flexible,Ventura Heights,6 Baths,5 Beds,,S$2.67 psf,"S$8,000/mo",https://www.99.co/singapore/rent/property/jalan-lim-tai-see-landed-Bap2oM7tzQp4U2X73oTwaB
"Penthouse,Renovated,Aircon,Gym,Fridge,Swimming Pool,Wading Pool,Playground,Parking,Washer,Security,BBQ,Balcony","2,056 sqft (built up)","- Unblock View
- Penthouse Duplex
- Spacious 3+1 unit
- Minutes to MRT
- Bright & Breezy
- Amenities/Shopping mall/Good School nearby

Please call Clarie Lee @ 91153945 for exclusive viewing! ",D13,,,,,,Flexible,Sommerville Loft,2 Baths,3 Beds,,S$2.19 psf,"S$4,500/mo",https://www.99.co/singapore/rent/property/sommerville-loft-condo-HMRRyuWs2X68fMfpJrNuEB
"Renovated,Aircon,TV,Gym,Fridge,Utility Room,Parking,High Floor,Security,Wading Pool,Lap Pool,BBQ",764 sqft (built up),"- Walking distance to MRT
- Minutes walk to orchard road
- Near to Newton Hawker Center
- City View
- Big and Spacious
- Newly Renovated
- Fully Furnished 

**Multiple units available:-
1 bedder, 2 bedder

Call Clarie Lee at 9115 3945 for viewing !",D09,,,,,,Flexible,Vida,1 Bath,1 Bed,,S$6.02 psf,"S$4,600/mo",https://www.99.co/singapore/rent/property/vida-condo-YKp68ffaoRQj76k9k9kwVB
"Clubhouse,Stove,Fridge,Jacuzzi,Outdoor Dining,Closet,Multi-purpose Hall,Pavilion,Renovated,Aircon,Pool Deck,Lounge,Mini Golf Range,Wading Pool,Hydrotherapy Pool,Fitness Corner,Washer,Balcony,Lap Pool,Gym,BBQ","1,005 sqft (built up)","Call Clarie Lee @ 91153945 for viewing today!

*Multiple units available! One View, View All!*

- Private and greenery at eye level
- Resort View
- Brand New
- Minutes walk to MRT
- Has 4 MRT lines linked
- MRT, Supermarket, eateries at your doorstep!

For viewing, please call Clarie Lee @ 91153945!",D01,,,,,,Flexible,Marina One Residences,2 Baths,2 Beds,,S$5.47 psf,"S$5,500/mo",https://www.99.co/singapore/rent/property/marina-one-residences-condo-7H5oAGRbD6nnVGuJ4J43m9
"Renovated,Aircon,TV,Gym,Fridge,Jacuzzi,Wading Pool,Basketball Court,Steam Room,Playground,Fitness Corner,Parking,Security,Tennis Court,Balcony","1,453 sqft (built up)","- Next to AMK MRT/Interchange/AMK Hub
- Close to good schools
- High floor
- Unblock view
- Well Maintained
- Partially furnished

**Multiple units available
Call Clarie Lee at 9115 3945 for viewing !",D20,,,,,,Flexible,Centro Residences,2 Baths,2 Beds,,S$3.10 psf,"S$4,500/mo",https://www.99.co/singapore/rent/property/centro-residences-condo-bjaiD8Rj6Z4ThhxGPYwGfY
"Clubhouse,Gym,Fridge,Sauna,Squash Court,Steam Room,Tennis Court,Badminton Court,Parking,Renovated,Aircon,TV,Wading Pool,Swimming Pool,Utility Room,Jacuzzi,Playground,Security,BBQ","1,324 sqft (built up)","- Walking distance to MRT
- Flexible Listing
- Large and spacious
- Easy access to city via SLE/CTE
- Windy and Bright
- Near to amenties

**Multiple units available
Call Clarie Lee at 9115 3945 for viewing !",D28,,,,,,Flexible,Serenity Park,2 Baths,3 Beds,,S$2.42 psf,"S$3,200/mo",https://www.99.co/singapore/rent/property/serenity-park-condo-gcL2pjxxy4cx62Hrcu5i4g
"Clubhouse,Renovated,Aircon,Water Feature,Gym,Tennis Court,Fridge,Sauna,Swimming Pool,Jacuzzi,Steam Room,Playground,Oven,Parking,High Floor,Washer,Closet,Security,BBQ,Balcony",990 sqft (built up),"- Minutes walk to MRT
- High Floor
- Unblock View 
- Well Renovated
- Prime Location
- Spacious and cosy unit 
- Bright and Breezy

For viewing, please call Clarie Lee @ 91153945",D11,,,,,,Flexible,L'viv,2 Baths,2 Beds,,S$6.06 psf,"S$6,000/mo",https://www.99.co/singapore/rent/property/lviv-condo-TRzeb7QFgfjeno6vxz9YAY
"Renovated,Aircon,Swimming Pool,High Ceiling,Gym,Fridge,Maid Room,Tennis Court,Playground,Parking,High Floor,Washer,Security,BBQ,Balcony","2,050 sqft (built up)","- High Floor
- Unblock View
- Spacious 3+1 unit
- Private Lift
- Walking distance to MRT
- Convenient & quiet ambience 

For viewing, please call Clarie Lee @ 91153945",D10,,,,,,Flexible,Beaverton Court,3 Baths,3 Beds,,S$2.99 psf,"S$6,120/mo",https://www.99.co/singapore/rent/property/beaverton-court-condo-U3ceEVoyENoh5rtcmkkxxi
"Clubhouse,Water Feature,Stove,Fridge,Sauna,Waterfall,Tennis Court,Oven,Parking,Karaoke,Games Room,Fun Pool,Pavilion,Renovated,Closet,Swimming Pool,TV,Sofa,Greenery View,Bed,Aircon,Wading Pool,Jacuzzi,Playground,Fitness Corner,Dining Room Furniture,Security,Bathtub,Gym,BBQ",926 sqft (built up),"- Fully Furnished
- Newly Renovated Kitchen
- Bright & Spacious
- Quiet & Greenery Environment
- Near to Amenities 

Call Clarie Lee @ 91153945 before it is taken.",D23,,,,,,Flexible,Parkview Apartments,2 Baths,2 Beds,,S$2.59 psf,"S$2,400/mo",https://www.99.co/singapore/rent/property/parkview-apartments-condo-NvwZLpfRytpu5DLYsErfQA
"Clubhouse,Gym,Fridge,Sauna,Squash Court,Steam Room,Tennis Court,Badminton Court,Parking,Renovated,Aircon,TV,Wading Pool,Swimming Pool,Utility Room,Jacuzzi,Playground,Security,BBQ","1,313 sqft (built up)","- Walking distance to MRT
- Flexible Listing
- Large and spacious
- Easy access to city via SLE/CTE
- Windy and Bright
- Near to amenties

**Multiple units available
Call Clarie Lee at 9115 3945 for viewing !",D28,,,,,,Flexible,Serenity Park,2 Baths,3 Beds,,S$2.21 psf,"S$2,900/mo",https://www.99.co/singapore/rent/property/serenity-park-condo-sJTrdS3tKY3YrkzUpTqhRZ
"Clubhouse,Gym,Fridge,Sauna,Jacuzzi,Steam Room,Tennis Court,Oven,Security,Jet Pool,Renovated,Aircon,Sofa,Open Terrace,Wading Pool,Hydrotherapy Pool,Playground,High Floor,Washer,Lap Pool,BBQ,Hydrotherapy Pool",786 sqft (built up),"Call Clarie Lee @ 91153945 for viewing today!

*Multiple units available! One call, View ALL!*

- Minutes to MRT
- High Floor 
- Unblock View
- Spacious loft unit
- Bright and Breezy
- Well Renovated
- Fully Furnished
- Move in condition 

For viewing, please call Clarie Lee @ 91153945

*Multiple units available! One call, View ALL!*",D02,,,,,,Flexible,Icon,1 Bath,1 Bed,,S$4.58 psf,"S$3,600/mo",https://www.99.co/singapore/rent/property/icon-condo-kzcbc8SiWGxqwmawEheTMc
"Clubhouse,Gym,Fridge,Sauna,Steam Room,Tennis Court,Parking,Security,Balcony,Renovated,Closet,Swimming Pool,TV,Sofa,Bed,Aircon,Wading Pool,Playground,Fitness Corner,High Floor,Washer,Lap Pool,BBQ",700 sqft (built up),"- High Floor
- Unblock View
- Walking distance to MRT
- Fully Furnished
- Windy and Bright

For viewing, please call Clarie Lee @ 91153945",D09,,,,,,Flexible,Visioncrest,1 Bath,1 Bed,,S$5.71 psf,"S$4,000/mo",https://www.99.co/singapore/rent/property/visioncrest-condo-9JRBSBkHqfSkuF8qshhjL7
"Clubhouse,Tennis Court,Renovated,Closet,Swimming Pool,TV,Sofa,Gym,Fridge,Bed,Sauna,Aircon,Wading Pool,Squash Court,Playground,Parking,Washer,Security,BBQ,Balcony","1,100 sqft (built up)","- Minutes walk to MRT
- Spacious 2 bedder with good size balcony
- Fully Furnished
- Bight and Breeze
- Near Market, Food Centers
- Fully Condo Facilites

For viewing, please call Clarie Lee @ 91153945",D10,,,,,,Flexible,Sommerville Park,2 Baths,2 Beds,,S$3.45 psf,"S$3,800/mo",https://www.99.co/singapore/rent/property/sommerville-park-condo-maQ5DWTgVVHbVtMaRLTick
