Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url
"Jogging Track,Clubhouse,Water Feature,Jacuzzi,Stove,Squash Court,Oven,Parking,Games Room,Closet,TV,Wading Pool,Utility Room,Playground,Dining Room Furniture,Washer,BBQ,Gym,Fridge,Sauna,Low Floor,Dryer,Tennis Court,Aircon,Sofa,Bed,Viewing Deck,Swimming Pool,Waterfall,Fitness Corner,Security,Bathtub","1,100 sqft (built up)","SMS or Whatsapp +65-91298282 StevenSee
We are specialist agents for full time and exchange students. 


** 5-10 mins walk to ESSEC and INSEAD
** No transport cost to school
** Exchange students welcome

** 3 rooms, 2 toilets, Store room
** for ESSEC and INSEAD students
** pool, bbq, Gym, club house 
** furnished
** what's app me for video of the unit



Dear friends, we are specialist agents for full time and exchange students near your university. Many parents and students trust us, let us help you.

SMS or Whats App StevenSee at +65-91298282. 
Book your unit early.









** Kaplan, SMU, LaSalle, SOTA, NAFA, Raffles, Essec, NTU, SIM, JCU, NUS, TMC, MDIS, insead, JCU, James Cook, ERC

** Sophia, Wilkie, Bencoolen, Waterloo, Mackenzie, Burlington, Sunshine, Orchard, river valley, city square, Emily, Kerrisdale, cityscape, river valley, Sophia residence, bukit timah, dhoby ghaut, Kallang, NUH, National University Hospital, Mount Elizabeth, Indonesia, philippines, expats, medical short term",D05,,,,Fully Furnished,,Flexible,Dover Parkview,2 Baths,3 Beds,,S$3.82 psf,"S$4,200/mo",https://www.99.co/singapore/rent/property/dover-parkview-condo-npC5UYaBwiQv2tHxvbYYUX
"Low Floor,Aircon",893 sqft (built up),"The Sound 
2 bedroom + Utility room
893 sqft
Partial furnished
Available 31 MArch 
Asking $3500 non nego

Call 81204311",D15,All races welcome,,,Partially Furnished,,24 months,Seaside Park,2 Baths,2 Beds,Not Allowed,S$3.92 psf,"S$3,500/mo",https://www.99.co/singapore/rent/property/seaside-park-condo-NVW78UMKmai7cUzpCdAkAN
"Clubhouse,Jacuzzi,Playground,Swimming Pool,Gym,BBQ,Tennis Court","1,012 sqft (built up)","~~~ REFLECTIONS AT KEPPEL BAY 2 BEDROOM UNBLOCK UNIT FOR RENT! ~~~

- High floor unit available immediately!
- Quiet and unblock greenery facing!
- Bright unit with lots of natural light
- One of the bigger sized 2 bedroom in Reflections!
  * Able to fit queens size bed in the room
- Efficient layout with 2 bathrooms 
  * Attached master bathroom with bathtub
  * Common bathroom available for guest's use
- Modern and open concept of the kitchen 
  * Giving more living and dining space
- Fully-fitted and good kitchen appliances (Miele)
- All tenants and agents welcome!

Various other Caribbean and Reflections (Tower and Villa) units available for rent and for sale! 
Call now to arrange for a viewing today!
Jeanette 8338 8030 / 9633 5468",D04,,,,,,Flexible,Reflections At Keppel Bay,2 Baths,2 Beds,,S$4.45 psf,"S$4,500/mo",https://www.99.co/singapore/rent/property/reflections-at-keppel-bay-condo-Zjjjqu2porTG8PGT7FdUGN
"City View,Loft,Aircon,Gym,Sauna,Swimming Pool,Jacuzzi,Parking,High Floor,Security,Lap Pool",786 sqft (built up),"Loft Unit / 1 bedroom
786 sqft
High floor
Fully furnished
Available 02 February
Near Tanjong Pagar MRT
Season parking $193

Call 81204311",D01,All races welcome,,,Fully Furnished,,24 months,The Clift,1 Bath,1 Bed,Not Allowed,S$6.62 psf,"S$5,200/mo",https://www.99.co/singapore/rent/property/the-clift-condo-cXSwut9oP5NqPKHfpVMSuU
"Clubhouse,Aircon,Greenery View,Swimming Pool,Jacuzzi,Playground,Washer,Gym,BBQ,Tennis Court","1,281 sqft (built up)","Reflections @ Keppel Bay.    

For rent.  Available on  mid January 2019.
1281 sqft
3 bedrooms, bright and breezy

Call Shandy Tong 8288 8078 or 9029 6282 for an exclusive viewing. 

Reflections at Keppel Bay is Daniel Libeskind's first Asian residential masterpiece. An architectural feat, six glass towers at alternating heights of between 24 and 41 storeys rise like beacons of light at the water’s edge. 
Along the extensive 2460-feet shoreline are 11 low-rise villa apartment blocks of 6 to 8 floors. Together, they make up the 1,129 meticulously designed luxury homes. 

A recipient of numerous international and local accolades, Reflections at Keppel Bay has also been awarded Gold at the prestigious FIABCI Prix d’ Excellence Awards 2013. 

All homeowners of Keppel Bay enjoy complimentary 10-year membership and five-year subscription at Marina at Keppel Bay. Located on the private Keppel Island, the award-winning Marina at Keppel Bay enhances the premier and intimate waterfront lifestyle experience for Keppel Bay residents with its premium berths and fine dining as well as a host of other waterfront amenities and facilities.

Condo Amenities near Reflections at Keppel Bay:
Reflections at Keppel Bay is located just minutes away from the Central Business District and within walking distance to Singapore’s largest shopping mall VivoCity and entertainment hot spot, St James Power Station. Homeowners can indulge in a variety of dining and leisure options. Across from Reflections at Keppel Bay is Sentosa Island, home to Resorts World Sentosa and Universal Studio Singapore theme park. 

Call Shandy Tong 8288 8078 or 9029 6282 for an exclusive viewing.",D04,All races welcome,,,,,24 months,Reflections At Keppel Bay,2 Baths,3 Beds,,S$4.45 psf,"S$5,700/mo",https://www.99.co/singapore/rent/property/reflections-at-keppel-bay-condo-mCekeGXxvAWkPiCRk6EdfC
"Clubhouse,City View,Security,Aircon,Closet,TV,Sofa,Stove,Fridge,Bed,Swimming Pool,Wading Pool,Dryer,Playground,Oven,Parking,Dining Room Furniture,Washer,Gym,BBQ,Games Room",780 sqft (built up),"SMS or What's App +65-91298282 StevenSee
We are specialist agent for students

** 2 bedrooms 2 bathrooms 
** Pool, Gym, Tennis, Jacuzzi, BBQ

** 5 mins walk to Dhoby Ghaut MRT
** 5 mins walk to LaSalle, Kaplan, NAFA, SMU, MDIS 

Other condo nearby
2 bedrooms, 1 master 1 single, $2500
2 bedrooms, 2 double rooms, $3300
3 bedrooms, 3 double rooms, $4000 up

Dear friends, we are specialist agents helping full time and exchange students to look for houses nearby their universities.

Please send me a SMS or what's app StevenSee at +65-91298282. Book your unit early.















** Kaplan, SMU, LaSalle, SOTA, NAFA, Raffles, Essec, NTU, SIM, JCU, NUS, TMC, MDIS, insead, JCU, James Cook, ERC

** Sophia, Wilkie, Bencoolen, Waterloo, Mackenzie, Burlington, Sunshine, Orchard, river valley, city square, Emily, Kerrisdale, cityscape, river valley, Sophia residence, bukit timah, dhoby ghaut, Kallang, NUH, National University Hospital, Mount Elizabeth, Indonesia, philippines, expats, medical short term",D07,All races welcome,,,Fully Furnished,,Flexible,Sunshine Plaza,2 Baths,2 Beds,,S$4.10 psf,"S$3,200/mo",https://www.99.co/singapore/rent/property/sunshine-plaza-condo-NP5jC8uSGSoJozogpdFCGQ
"Dishwasher,Patio / PES,Renovated,Aircon,Stove,Fridge,Bathtub,Dryer,Oven,Washer,Fibre Ready,Closet","6,100 sqft (built up)","1 Unit Brand New 3 Storey Semi-Detached with swimming pool at Dunearn Road (faces slip road, not main road). Located in the prime Watten Estate, mins' walk to MRT Partially furnished. Also for Sale

Live on one of the finest streets in Singapore

Remodelled to perfection

All the work has been done for you, you just need to move in

Generous living space and stylish furnishings

Enjoy the space to create and think in this beautiful home",D11,,,,Partially Furnished,,Flexible,Dunearn Road,5 Baths,7 Beds,,S$2.38 psf,"S$14,500/mo",https://www.99.co/singapore/rent/property/dunearn-road-landed-RPNfXniRmvgBRBqurwnZKR
"Clubhouse,Aircon,Tennis Court,Sauna,Jacuzzi,Swimming Pool,Wading Pool,Squash Court,Playground,Parking,Security,BBQ,Balcony","2,239 sqft (built up)","Please call Darren 8 6 0 6 9 0 8 8 for viewing.

Fully air conditioned unit

Near schools

Available immediately

Near Amenities",D19,,,,Partially Furnished,,24 months,Kensington Park,3 Baths,4 Beds,,S$2.37 psf,"S$5,300/mo",https://www.99.co/singapore/rent/property/kensington-park-condo-bdEgnsGnHJDwn3jNaXNEUi
"Clubhouse,Security,Games Room,Closet,Aircon,Swimming Pool,High Ceiling,Greenery View,Gym,Fridge,Sauna,Maid Room,Jacuzzi,Tennis Court,Parking,Mid Floor,Washer,Bathtub,Stove,BBQ,Playground",947 sqft (built up),"- 2 bedrooms + 2 baths + store/maid's rm
- Mid floor facing greenery
- Relaxing environment near beach & park
- Full condo facilities include swimming pool, tennis court, gym, function room, clubhouse, BBQ 

- Short walk to East Coast Park & beach
- Direct bus to Raffles Place
- Short ride to Changi Airport & Changi Business Park
- Nearest MRT stop is at Bedok",D16,All races welcome,,,Partially Furnished,,Flexible,The Bayshore,2 Baths,2 Beds,,S$2.59 psf,"S$2,450/mo",https://www.99.co/singapore/rent/property/the-bayshore-condo-BnbhDpisdVypxGa6ZmQ5Nb
"Dishwasher,Patio / PES,Renovated,Aircon,Stove,Fridge,Bathtub,Dryer,Oven,Washer,Fibre Ready,Swimming Pool,Balcony","6,100 sqft (built up)","1 Unit Brand New 3 Storey Bungalow at Lorong G Telok Kurau with balcony, and roof terrace. Good location in the east, just a short drive to the city. Partially furnished. 

A perfect setting for relaxing and entertaining

Merging inspiration and luxury

Masterful design and modern luxury embodied in one unit

This home is the ultimate retreat to return to at the end of the day

Living is easy in this impressive, generously, spacious residence
",D15,,,,Partially Furnished,,Flexible,Lorong G Telok Kurau,4 Baths,6 Beds,,S$2.46 psf,"S$15,000/mo",https://www.99.co/singapore/rent/property/lorong-g-telok-kurau-landed-kjsMLa8LsRNXx7oTaGF8in
"Maid Room,Low Floor,Bomb Shelter,Renovated,Aircon",990 sqft (built up),"Newly Renovated 4Room Flat
Available IMMEDIATE!


Call/ Whatsapp David (俊平) @ 9066-9589 for viewing!

Transportation: 
- Marsiling (NS8) &gt; 0.65 km
- Woodlands (NS9 TE2) Thomson-East
  Coast Line Due 2019 &gt; 1.04 km
- Woodlands South MRT (TE3) ThomsonEast
  Coast Line Due 2019 &gt; 1.58 km
- Woodlands North MRT (TE1) ThomsonEast
  Coast Line Due 2019 &gt; 1.97 km
- Woodlands Train Checkpoint &gt; 1.8 km

- 2 Expressway
2 mins to BKE
5 mins to SLE

Education:
- PCF Sparkletots Childcare Centre (0.6 km)

- Primary & Secondary:
Fuchun Primary School (0.15 km)
Fuchun Secondary School (0.26 km)
Si Ling Primary School (0.75 km)
Marsiling Secondary School (0.76 km)
Marsiling Primary School (0.76 km)
Singapore American School (0.94 km)
Woodlands Secondary School (1.09 km)
Singapore Sports School (1.21 km)
Singapore Sports School (1.21 km)

- Tertiary Education
Republic Polytechnic (1.6 km)

- Lifestyle 
Woodlands Stadium (0.52 km)

Call/ Whatsapp David (俊平) @ 9066-9589 for viewing!",D25,,North West,,Unfurnished,,Flexible,325 Woodlands Street 32,2 Baths,3 Beds,Not Allowed,S$1.82 psf,"S$1,800/mo",https://www.99.co/singapore/rent/property/325-woodlands-street-32-hdb-Qxia8vcqB8YuiFqD3Wgnfn
"Clubhouse,Basketball Court,Aircon,Gym,Fridge,Swimming Pool,Wading Pool,Tennis Court,Parking,Security,Lap Pool,BBQ","1,507 sqft (built up)","# Do you want to live in one of the tallest building for residential in Singapore with affordable price ??? The opportunity is here !

Good location Unit and Convenient for Expats.

Condo facilities at Altez 
Altez has full facilities which includes BBQ pits, covered car park, clubhouse, gymnasium, lap pool, lounge, 24-hours security, swimming pool, tennis courts and wading pool. 

Amenities near Altez 
Several feeder bus services are available near Altez located at Apex Tower, IBM Towers and Tanjong Pagar Plaza. It is also close to private institutions such as Top Education Center and Asia Innovatory Management School. 

Altez is also within walking distance to the stretch of eateries and restaurants located at Tanjong Pagar Plaza and Tras Street. Residents can head to shopping malls like China Square Central or Pearl's Center for amenities such as retail, supermarkets, restaurants, banks, and more. In addition, it is within reasonable driving distance to VivoCity. 

For vehicle owners, driving from Altez to Orchard Road takes 5 - 10 minutes, via the Central Expressway (CTE). 

Quickly dial your phone to find out more !!!!

For viewing appointment, please contact Ken Chong @ 9738 2887

",D02,All races welcome,,,Partially Furnished,Yes,24 months,Altez,3 Baths,3 Beds,,S$5.97 psf,"S$9,000/mo",https://www.99.co/singapore/rent/property/altez-condo-yhq4aFC7jK8stpN9EtNwCS
Aircon,"2,424 sqft (built up)","The Monthly Rental is non-negotiable

1) Near to Boon Keng MRT
2) Built in 1920s
3) Applicable for home office scheme, approval by URA a must
4) Conversion of premise to Home Office can be request subject to $200 premium per month
5) Unit nicely maintained

Multiple units available in hand. One call can view all ! 

For exclusive viewing please contact Ken Chong @ +65-9738 2887

",D12,,,,Partially Furnished,,24 months,Townerville,2 Baths,3 Beds,,S$2.19 psf,"S$5,300/mo",https://www.99.co/singapore/rent/property/mcnair-road-landed-3kkYn3LN9CM5x56zo2JJs
"Closet,TV,Sofa,Stove,Fridge,Bed,Walk In Closet,Dryer,Oven,Parking,Washer,Bathtub,Security",853 sqft (built up),"Riverside 48 @ Robertson Quay, River Valley Road, Kim Seng Road, Robertson Quay, Mohd Sultan Road, Clarke Quay

WOWWWW ---- I WANT THIS HOME !!!

****** NO AGENT FEES *******
******* DIRECT LANDLORD AGENT  ********

* NEW release unit !!
* FULLY FURNISHED 
* Rental FROM $3100

BIG BIG SPACIOUS !!
SEE the SUN, SMELL the Fresh AIR, Feel the Morning DEW !

Super Condition !
Spacious 1BR + 2, Yes TWO Toilets !!
BIG Kitchen - i got OVEN now !

FULLY FURNISHED !
Partial Furnish - can be arranged 

AMENITIES at my Finger Tips !
Walk to nearby Clarke Quay, Robertson Quay, Fine-dining, Supermarkets, Japanese Supermarket - all at your finger tips !

Mins to CBD, Marina Bay Financial Center, Raffles Place, Shenton Way, Telok Ayer, etc.

Mins walk to Fort Canning MRT Downtown Line and Clarke Quay Purple Line, Dhoby Ghaut MRT.

I want this HOME !!! 
Most PERFECT, Home SWEET Home 

We can see a few units !
River Facing from $3100 - 3200
City Facing from $2800 - 3000

Fully Furnish with ADDED Cost 

Dont MISS - Must View 
Call now KEN 9666-7457
",D09,All races welcome,,,Fully Furnished,Yes,12 months,Riverside 48,2 Baths,1 Bed,Allowed,S$3.52 psf,"S$3,000/mo",https://www.99.co/singapore/rent/property/riverside-48-condo-Z5yEohBNvHjiDkAsVyDUVa
Aircon,"2,424 sqft (built up)","The Monthly Rental is non-negotiable

1) Near to Boon Keng MRT
2) Built in 1920s
3) Applicable for home office scheme, approval by URA a must
4) Conversion of premise to Home Office can be request subject to $200 premium per month
5) Unit nicely maintained

For exclusive viewing please contact Ken Chong @ +65-9738 2887

",D12,All races welcome,,,Partially Furnished,,24 months,Townerville,2 Baths,3 Beds,,S$2.19 psf,"S$5,300/mo",https://www.99.co/singapore/rent/property/mcnair-road-landed-SFMx8ZweUsFYiVUc72sv3S
"Gym,Fridge,Walk In Closet,Dryer,Oven,Parking,Security,Closet,Aircon,TV,Sofa,Attached Bathroom,Bed,Swimming Pool,Wading Pool,Playground,Fitness Corner,Dining Room Furniture,Washer,Bathtub,Lap Pool,BBQ",958 sqft (built up),"Jardin @ Bukit Timah 

1️⃣ 2 bedrooms on 6th floor
2️⃣ Spacious bedrooms
3️⃣ Facing Garden Vista condo
4️⃣ Fully furnished 
5️⃣ Well maintained Beautiful condition 
6️⃣ Ready to move in! 
7️⃣ Condo facilities available. 
MBS alike roof TOP pool with Bukit Timah hill view
8️⃣ You will love it!
9️⃣ All tenants profile welcome! 

AMENITIES & ATTRACTIONS:
✅ 5 mins walk to King Albert Park MRT
✅ Nearby shopping centres include Bukit Timah Plaza, Beauty World Centre, Bukit Timah Shopping Centre, King Albert Park and The Grandstand 
✅ Opposite KAP mall with cinemas coming up soon! 
✅ A myriad of amenities such as supermarkets, bistros, restaurants and eateries at Bukit Timah Market and Food Centre
✅ Many top-notch schools in the area including Methodist Girls' Pri & Sec schools, Pei Hwa Presbyterian Pri School, Bukit Timah Pri School, Nanyang PriSchool, Nanyang Girls' High School, Hwa Chong JC, National Junior College and Ngee Ann Polytechnic 
✅ Engage in lifestyle activities at nearby Green Fairways Golf Course & Driving Range and next to Rail Corridor with short walk to Bukit Timah Nature Reserve.
✅Easy access to town / PIE / AYE / BKE expressway

Call Wendy Koh @ 9790 1767 for an exclusive viewing now!
",D21,,,,Fully Furnished,,24 months,Jardin,2 Baths,2 Beds,,S$3.86 psf,"S$3,700/mo",https://www.99.co/singapore/rent/property/jardin-condo-J6jbL4va33Dz2KmGmv676c
